scaling,pca_components,k,metric,weights,mean_macro_f1,std_macro_f1,fold1_macro_f1,fold2_macro_f1,fold3_macro_f1,fold4_macro_f1,fold5_macro_f1
minmax,100,7,cosine,distance,0.8260771799824361,0.007088553344023369,0.8206281790705614,0.8316019402740575,0.8341491669055738,0.8288104169939942,0.8151961966679935
minmax,100,5,cosine,distance,0.8256132937389287,0.007906685442872716,0.820211654407173,0.8366295082732493,0.8275031247888895,0.8299330843356338,0.8137890968896982
standard,50,7,manhattan,distance,0.8244817040477622,0.010113761603572274,0.8253189856995803,0.8300170389159103,0.810674731004253,0.8396407476102331,0.8167570170088345
standard,100,3,manhattan,distance,0.8237713357263801,0.008915073696194485,0.8298054226650402,0.825364299441523,0.8285838647593659,0.8289074463179243,0.8061956454480462
standard,100,7,cosine,distance,0.8235418640483696,0.007413118647290482,0.8120275090418666,0.8312703573397939,0.8295981428866183,0.8270545448088017,0.817758766164767
minmax,50,5,cosine,distance,0.8234738909676699,0.011294679924643137,0.815504565725465,0.8390149431913757,0.816322796481513,0.8351292374862884,0.811397911953707
standard,100,5,manhattan,distance,0.8232089396699166,0.011252565614836396,0.8185127452005888,0.8310004296989246,0.8242318466515185,0.8375938870253989,0.8047057897731529
minmax,100,5,manhattan,distance,0.8231771584880574,0.008588095613481398,0.8148256980441223,0.8338167050142709,0.833164185571094,0.8193580257162543,0.8147211780945458
minmax,100,7,manhattan,distance,0.8221101097175321,0.008011497177933589,0.8161671031276283,0.8316931882204319,0.8281719301743019,0.8246739018696514,0.8098444251956464
standard,50,3,manhattan,distance,0.8220207573192374,0.010060132982617508,0.8296467354567338,0.8371802242327158,0.8120857274571696,0.8198847801255379,0.8113063193240302
standard,100,7,cosine,uniform,0.8217364621736142,0.008432540418392247,0.8095101605044202,0.8315896908150003,0.8287815661298696,0.8243209495353667,0.8144799438834133
minmax,100,7,cosine,uniform,0.8213017756076454,0.007056689446087982,0.8151343664280789,0.8286256168600008,0.8292432058467523,0.8218937042751625,0.8116119846282324
minmax,50,7,cosine,distance,0.82129776463886,0.0071145370434520004,0.8177857483821581,0.8274910888952232,0.8188692972705203,0.8310825058401445,0.8112601828062544
minmax,100,3,cosine,distance,0.821135024150089,0.00904105047619926,0.8218470613962907,0.8333100429133014,0.8238611255510404,0.8214107693258414,0.8052461215639711
minmax,50,5,manhattan,uniform,0.8208953785682711,0.014781608586261286,0.8134704283598921,0.8430160251738605,0.8195569111728807,0.8293334368472559,0.7991000912874662
